년월,시도,군/구,업종,사용금액,이용자수
201601,경기,종로구,요식/유흥,10060,10
201601,경기,중구,요식/유흥,16599,5
201601,경북,성남시,유통,254015,5
201601,부산,서초구,스포츠/문화/레저,150900,30
201601,서울,,전자상거래,151906,5
201601,서울,노원구,가정생활/서비스,20120,5
201601,서울,서대문구,요식/유흥,324883,10
201601,서울,은평구,요식/유흥,5149865,5
201602,서울,,의료,166191,5
201602,서울,가평군,유통,29677,10
201602,서울,서대문구,유통,237919,50
201602,서울,서초구,요식/유흥,180074,5
201602,서울,성남시,요식/유흥,545619,5
201602,서울,양천구,의료,251500,5
201602,서울,종로구,의료,407430,5
201602,서울,중구,의료,201200,5
201602,제주,마포구,음/식료품,503000,5
201602,제주,송파구,요식/유흥,15543,5
201603,경기,강남구,음/식료품,58348,15
201603,경기,광진구,음/식료품,1559300,5
201603,대전,서초구,유통,32947,5
201603,부산,성동구,유통,60360,10
201603,서울,강남구,요식/유흥,125800,5
201603,서울,강남구,유통,2052240,5
201603,서울,강남구,자동차,26156,80
201603,서울,강서구,스포츠/문화/레저,227356,5
201603,서울,송파구,전자상거래,962340,5
201603,서울,용산구,유통,931556,10
201604,경기,송파구,요식/유흥,160457,50
201604,대구,중구,요식/유흥,50300,15
201604,서울,,유통,176050,186
201604,서울,강남구,전자상거래,251500,20
201604,서울,부천시,요식/유흥,35713,5
201604,서울,의정부시,유통,1825085,15
201604,서울,중구,유통,31488,5
201605,서울,,유통,201200,121
201605,서울,고양시,유통,140840,15
201605,서울,마포구,요식/유흥,50300,5
201605,서울,부천시,요식/유흥,85510,5
201605,서울,송파구,요식/유흥,14084,10
201605,서울,양평군,전자상거래,18108,5
201605,서울,중구,요식/유흥,105630,15
201606,서울,,요식/유흥,10060,5
201606,서울,,유통,528150,5
201606,서울,안양시,전자상거래,415579,25
201607,경기,강서구,가정생활/서비스,256530,20
201607,경기,고양시,미용,2535120,5
201607,경기,부평구,전자상거래,226350,20
201607,경기,중랑구,요식/유흥,381526,5
201607,서울,,요식/유흥,611648,5
201607,서울,,전자상거래,122430,5
201607,서울,관악구,여행/교통,201200,136
201607,서울,동작구,전자상거래,37725,25
201607,서울,동작구,주유,35210,5
201607,서울,마포구,유통,291740,5
201607,서울,서대문구,가전/가구,128265,10
201607,서울,서초구,유통,26156,96
201607,서울,성동구,음/식료품,422520,10
201607,서울,성북구,스포츠/문화/레저,80480,10
201607,서울,영등포구,전자상거래,20623,5
201607,서울,용산구,유통,112924,5
201607,서울,중구,음/식료품,366184,25
201607,서울,화성시,음/식료품,72935,10
201608,서울,,요식/유흥,7042,5
201608,서울,,음/식료품,262566,5
201608,서울,부천시,스포츠/문화/레저,492940,10
201608,서울,서초구,스포츠/문화/레저,22635,5
201608,서울,서초구,유통,92150,5
201608,서울,성동구,요식/유흥,136313,5
201608,서울,송파구,스포츠/문화/레저,12575,15
201608,서울,시흥시,요식/유흥,22635,5
201608,서울,용산구,요식/유흥,129875,50
201609,경기,성남시,전자상거래,272475,10
201609,경북,강서구,주유,58449,5
201609,서울,마포구,요식/유흥,64384,5
201609,서울,성남시,전자상거래,41749,5
201609,서울,시흥시,여행/교통,75450,15
201609,서울,의정부시,유통,18108,5
201609,인천,,전자상거래,188625,5
201610,강원,동작구,여행/교통,126253,5
201610,경기,오산시,의료,192146,5
201610,서울,,의류/잡화,5785,10
201610,서울,강동구,요식/유흥,216290,10
201610,서울,마포구,전자상거래,128265,55
201610,서울,서대문구,전자상거래,726835,10
201610,서울,성남시,요식/유흥,128265,5
201610,서울,양천구,유통,50300,5
201610,서울,용인시,요식/유흥,455718,5
201611,경기,구리시,의료,814357,5
201611,경기,화성시,스포츠/문화/레저,115690,121
201611,서울,마포구,유통,299788,55
201611,서울,성동구,자동차,10060,5
201611,서울,중구,유통,173535,5
201612,경기,강화군,요식/유흥,19617,5
201612,서울,,요식/유흥,71426,10
201612,서울,남양주시,전자상거래,25150,25
201612,서울,동작구,요식/유흥,302705,5
201612,서울,마포구,주유,8048,15
201612,서울,성동구,유통,15090,10
201612,서울,양천구,음/식료품,125750,10
201612,서울,영등포구,의료,34204,5
201612,인천,관악구,스포츠/문화/레저,1241303,5
201701,부산,중구,의류/잡화,25150,5
201701,서울,고양시,음/식료품,343549,5
201701,서울,광진구,주유,45270,5
201701,서울,마포구,가정생활/서비스,21629,20
201701,서울,마포구,요식/유흥,43761,15
201701,서울,서초구,요식/유흥,18611,25
201701,서울,성남시,요식/유흥,22132,15
201701,인천,구리시,유통,898936,5
201702,경기,강남구,음/식료품,15548,5
201702,경기,중구,요식/유흥,581418,5
201702,서울,,유통,6850860,5
201702,서울,,전자상거래,34657,5
201702,서울,광진구,유통,14587,35
201702,서울,부천시,유통,65390,15
201702,서울,서초구,미용,21126,35
201702,서울,수원시,가정생활/서비스,40240,5
201702,서울,파주시,음/식료품,799770,15
201702,서울,평택시,의류/잡화,289175,5
201703,경기,,전자상거래,140840,5
201703,경기,강남구,유통,296770,5
201703,경기,동작구,유통,323932,5
201703,서울,,유통,22635,10
201703,서울,관악구,요식/유흥,158445,20
201703,서울,화성시,요식/유흥,160960,15
201704,경기,도봉구,요식/유흥,224338,5
201704,서울,강동구,주유,45270,5
201704,서울,송파구,음/식료품,27665,5
201704,서울,송파구,전자상거래,393698,5
201704,서울,중구,유통,182710,15
201704,인천,중랑구,요식/유흥,245062,5
201704,전남,용산구,요식/유흥,197060,5
201705,경기,남양주시,요식/유흥,47282,5
201705,경기,송파구,전자상거래,50300,5
201705,서울,,가정생활/서비스,2525060,10
201705,서울,,유통,2052240,20
201705,서울,마포구,의료,259045,35
201705,서울,성동구,전자상거래,417440,15
201705,서울,영등포구,요식/유흥,27665,5
201705,서울,용산구,유통,58348,15
201706,경기,,요식/유흥,286207,5
201706,경기,의정부시,요식/유흥,61366,5
201706,서울,강서구,전자상거래,123235,10
201706,서울,서초구,요식/유흥,503000,5
201706,서울,성북구,스포츠/문화/레저,415528,5
201706,서울,중랑구,가전/가구,1312327,10
201707,경기,마포구,유통,2615600,10
201707,경기,송파구,전자상거래,67905,10
201707,대구,서대문구,요식/유흥,981856,5
201707,서울,강남구,요식/유흥,40240,5
201707,서울,강서구,스포츠/문화/레저,45270,10
201707,서울,마포구,음/식료품,233291,60
201707,서울,성남시,스포츠/문화/레저,311005,5
201708,경기,용산구,의류/잡화,251500,5
201708,광주,종로구,전자상거래,25150,10
201708,서울,,유통,211250,5
201708,서울,마포구,유통,28168,45
201708,서울,중랑구,주유,56336,5
201708,인천,,요식/유흥,384795,5
201708,충북,용산구,유통,352100,5
201709,경기,서대문구,유통,1376661,10
201709,서울,동작구,전자상거래,120720,20
201709,서울,마포구,스포츠/문화/레저,756512,5
201709,서울,서초구,전자상거래,58851,5
201709,서울,성남시,요식/유흥,736895,10
201709,서울,송파구,전자상거래,22635,5
201709,서울,용산구,요식/유흥,35713,15
201709,서울,용인시,가정생활/서비스,251500,5
201709,서울,종로구,미용,40240,25
201709,충남,구로구,요식/유흥,15845,30
201710,경기,도봉구,의료,251500,5
201710,경기,마포구,유통,16599,10
201710,경기,성북구,요식/유흥,22635,20
201710,부산,용인시,가전/가구,60360,5
201710,서울,구로구,가정생활/서비스,25150,5
201710,서울,동작구,의료,40240,5
201710,서울,마포구,유통,503000,25
201710,서울,중구,음/식료품,26156,5
201711,경기,서대문구,음/식료품,8048,5
201711,경기,송파구,요식/유흥,251500,5
201711,서울,,여행/교통,47785,116
201712,경기,,유통,341990,5
201712,경기,중랑구,요식/유흥,35210,171
201712,대구,연수구,요식/유흥,31186,5
201712,서울,고양시,의료,164395,10
201712,서울,성북구,요식/유흥,99594,20
201712,서울,용산구,전자상거래,42755,5
201712,서울,중구,전자상거래,6539,5
201712,서울,파주시,여행/교통,226752,10
201801,경기,관악구,미용,673416,5
201801,경기,중구,주유,22635,65
201801,경북,,요식/유흥,207236,5
201801,경북,구리시,유통,15090,10
201801,서울,강남구,요식/유흥,135810,5
201801,서울,광진구,유통,19617,5
201801,서울,부천시,스포츠/문화/레저,45270,10
201801,서울,서대문구,전자상거래,526928,35
201801,서울,성남시,유통,28420,35
201801,서울,영등포구,가전/가구,44767,20
201801,서울,영등포구,유통,80480,5
201801,서울,용산구,요식/유흥,70420,5
201801,서울,중랑구,요식/유흥,17605,10
201802,서울,강남구,유통,55330,5
201802,서울,김포시,유통,963245,5
201802,서울,송파구,가정생활/서비스,40240,35
201802,서울,용산구,전자상거래,1092063,15
201803,서울,마포구,음/식료품,22132,15
201803,서울,종로구,유통,206783,5
201804,경기,,의류/잡화,30180,5
201804,경남,성북구,전자상거래,268149,5
201804,서울,,요식/유흥,22132,20
201804,서울,,음/식료품,279165,5
201804,서울,강서구,음/식료품,35210,20
201804,서울,광진구,요식/유흥,57845,15
201804,서울,금천구,여행/교통,75450,5
201804,서울,성북구,가정생활/서비스,48037,5
201804,서울,송파구,스포츠/문화/레저,19114,5
201804,서울,의정부시,요식/유흥,440226,5
201804,충남,양주시,유통,21629,15
201805,경남,,요식/유흥,182589,5
201805,경북,송파구,전자상거래,45270,15
201805,서울,,전자상거래,14587,10
201805,서울,강서구,가정생활/서비스,30180,5
201805,서울,남양주시,주유,123336,5
201805,서울,서초구,주유,58097,10
201805,서울,성동구,유통,72935,5
201805,서울,용산구,가정생활/서비스,1290648,5
201805,서울,의정부시,유통,30180,5
201806,강원,,여행/교통,627437,5
201806,경기,마포구,요식/유흥,80882,5
201806,서울,,유통,179571,5
201806,서울,고양시,의료,135810,5
201806,서울,서초구,주유,5533,5
201806,서울,이천시,요식/유흥,26659,15
201806,제주,중구,의료,14084,5
201807,강원,,유통,22635,5
201807,경기,강남구,유통,149391,5
201807,경기,부천시,유통,6614450,10
201807,경기,성남시,가정생활/서비스,532677,20
201807,대구,서초구,유통,503000,15
201807,서울,,요식/유흥,1367053,5
201807,서울,,유통,1106600,15
201807,서울,구로구,가전/가구,61366,5
201807,서울,성동구,유통,439421,30
201807,서울,용산구,유통,11066,5
201807,전남,영등포구,가정생활/서비스,170014,101
201808,강원,중구,요식/유흥,192649,5
201808,경기,은평구,전자상거래,376138,30
201808,서울,강남구,주유,87924,5
201808,서울,성남시,전자상거래,456221,35
201808,서울,용산구,전자상거래,123034,10
201808,서울,용인시,유통,173032,5
201809,경기,마포구,주유,114835,10
201809,경북,광진구,유통,52815,10
201809,부산,부평구,의료,853591,5
201809,서울,,스포츠/문화/레저,254015,5
201809,서울,마포구,유통,189128,5
201809,서울,부평구,유통,579959,5
201809,서울,안산시,가정생활/서비스,1200158,50
201809,서울,양천구,전자상거래,14587,60
201809,서울,은평구,가정생활/서비스,90540,5
201810,경기,은평구,가정생활/서비스,209248,5
201810,서울,송파구,주유,75450,5
201810,제주,강서구,주유,82995,45
201811,강원,성남시,음/식료품,10060,10
201811,경기,서대문구,전자상거래,867449,5
201811,서울,강남구,유통,428053,10
201811,서울,서대문구,요식/유흥,35713,5
201811,서울,중구,요식/유흥,54827,15
201811,서울,중구,유통,15593,15
201811,인천,종로구,요식/유흥,110409,5
201812,서울,,요식/유흥,76964,5
201812,서울,,유통,254015,5
201812,서울,서대문구,유통,36518,5
201812,서울,송파구,요식/유흥,137822,5
201901,서울,강남구,유통,1001473,10
201901,서울,강서구,요식/유흥,140840,5
201901,서울,광진구,유통,475838,5
201901,서울,동대문구,음/식료품,12575,5
201901,서울,영등포구,전자상거래,322423,121
201901,서울,용산구,미용,284698,20
201901,충남,강남구,전자상거래,160608,5
201902,경기,동작구,요식/유흥,135810,5
201902,경기,화성시,요식/유흥,5099414,96
201902,서울,서대문구,의료,411957,5
201902,서울,성동구,여행/교통,150900,5
201902,서울,송파구,요식/유흥,15090,10
201902,서울,용산구,의료,49797,5
201902,서울,중구,가정생활/서비스,25150,5
201902,서울,화성시,유통,149894,5
201902,전북,,요식/유흥,32293,5
201903,대전,강남구,요식/유흥,432334,5
201903,대전,파주시,가정생활/서비스,140840,10
201903,서울,,유통,28671,40
201903,서울,강남구,주유,147379,5
201903,서울,도봉구,요식/유흥,67402,5
201903,서울,도봉구,음/식료품,240434,5
201903,서울,마포구,가정생활/서비스,2863780,5
201903,서울,송파구,음/식료품,71426,10
201903,서울,중구,의료,149793,25
201903,서울,평택시,유통,75450,5
201904,경기,서초구,요식/유흥,419502,5
201904,경남,마포구,요식/유흥,68509,10
201904,서울,강남구,전자상거래,45270,30
201904,서울,고양시,의료,72432,5
201904,서울,구로구,자동차,130780,10
201904,서울,동작구,유통,124493,10
201904,서울,종로구,전자상거래,45270,10
201904,서울,중구,의료,424029,5
201905,경기,광진구,요식/유흥,1069730,5
201905,서울,,요식/유흥,130780,5
201905,서울,강남구,유통,206230,5
201905,서울,강서구,요식/유흥,56839,5
201905,서울,노원구,의료,57845,30
201905,서울,성남시,의료,244659,5
201905,서울,성북구,미용,1364498,75
201905,서울,송파구,가정생활/서비스,150900,5
201905,서울,영등포구,전자상거래,12575,5
201905,서울,용산구,의류/잡화,181080,45
201906,강원,,가정생활/서비스,347070,5
201906,경기,동작구,음/식료품,3311299,5
201906,서울,,전자상거래,176050,5
201906,서울,강남구,유통,88025,5
201906,서울,부천시,유통,15090,30
201906,서울,서초구,유통,150397,5
201906,서울,중구,가전/가구,700176,10
201907,서울,구로구,유통,47383,10
201907,서울,성동구,전자상거래,15090,86
201907,서울,영등포구,자동차,1060324,5
201908,서울,강북구,가전/가구,236410,5
201908,서울,구로구,유통,29174,10
201908,서울,마포구,여행/교통,16096,15
201908,서울,마포구,자동차,47785,15
201908,서울,서초구,요식/유흥,191643,5
201908,서울,성남시,전자상거래,240434,5
201908,인천,하남시,요식/유흥,258039,40
201909,서울,마포구,요식/유흥,169159,5
201909,서울,용산구,요식/유흥,936586,10
201909,서울,용산구,전자상거래,37725,20
201909,서울,중구,전자상거래,22132,10
201909,충북,관악구,유통,44264,5
201910,서울,마포구,유통,56839,10
201910,서울,서대문구,요식/유흥,1214846,30
201910,서울,서초구,의료,1062839,5
201910,서울,중구,의료,73438,10
201911,대구,,유통,46779,5
201911,서울,고양시,유통,50300,5
201911,서울,구리시,전자상거래,65390,5
201911,서울,노원구,요식/유흥,392843,5
201912,경기,광주시,음/식료품,135307,5
201912,경기,중구,유통,75450,5
201912,대구,파주시,전자상거래,45270,20
201912,서울,마포구,유통,169511,10
201912,서울,시흥시,요식/유흥,119211,5
201912,서울,중구,유통,58348,5
202001,경기,파주시,주유,380268,10
202001,서울,,주유,1140452,5
202001,서울,강남구,스포츠/문화/레저,41246,5
202001,서울,안산시,요식/유흥,5030,10
202001,서울,용인시,스포츠/문화/레저,28671,5
202002,경기,강서구,요식/유흥,29174,5
202002,서울,강남구,유통,4200503,10
202002,서울,마포구,전자상거래,22635,5
202002,서울,성남시,유통,11066,5
202002,서울,송파구,주유,41850,5
202002,서울,중구,자동차,44264,5
202002,서울,화성시,전자상거래,30180,5
202003,경기,마포구,유통,20120,25
202003,서울,마포구,전자상거래,380771,20
202003,서울,용인시,유통,22635,5
202003,서울,중구,요식/유흥,15090,5
202003,전북,구로구,요식/유흥,196170,10
202004,경기,강남구,요식/유흥,941415,10
202004,경기,광명시,전자상거래,171020,10
202004,서울,,요식/유흥,11569,5
202004,서울,,유통,338519,10
202004,서울,마포구,유통,181080,5
202004,서울,성북구,전자상거래,29677,5
202004,인천,은평구,미용,518090,5
202005,경기,구리시,유통,2565149,5
202005,서울,,의료,80480,10
202005,서울,관악구,유통,564869,25
202005,서울,광주시,유통,57342,5
202005,서울,동작구,요식/유흥,251500,30
202005,서울,서대문구,전자상거래,34707,5
202005,서울,성북구,스포츠/문화/레저,452700,5
202006,부산,동대문구,유통,249991,5
202006,서울,강동구,교육/학원,125750,10
202006,서울,강북구,음/식료품,55330,5
202006,서울,영등포구,교육/학원,40240,5
202007,서울,,전자상거래,17605,5
202007,서울,구로구,유통,559336,5
202007,서울,동작구,음/식료품,819085,5
202007,서울,송파구,주유,165487,5
202007,서울,영등포구,전자상거래,706715,5
202007,서울,중구,가정생활/서비스,81989,5
202007,서울,중구,요식/유흥,3637042,15
202007,서울,중구,유통,114986,5
202007,서울,하남시,유통,120972,35
202008,서울,구로구,요식/유흥,63881,5
202008,서울,서대문구,유통,111666,10
202008,서울,수원시,요식/유흥,50300,5
202008,서울,화성시,주유,22635,30
202009,경기,종로구,의료,75450,20
202009,서울,강동구,요식/유흥,30180,5
202009,서울,마포구,스포츠/문화/레저,461754,10
202009,서울,중구,요식/유흥,103719,5
202009,충남,,유통,83498,5
202010,강원,관악구,의료,266590,10
202010,경기,마포구,음/식료품,301448,86
202010,경기,용인시,미용,804800,5
202010,서울,,여행/교통,25150,30
202010,서울,,전자상거래,3281673,5
202010,서울,강남구,전자상거래,251500,25
202010,제주,마포구,요식/유흥,106636,10
202010,충남,광진구,의류/잡화,201200,5
202011,경기,안양시,요식/유흥,23893,5
202011,경남,용산구,여행/교통,73438,5
202011,서울,마포구,요식/유흥,970186,5
202011,서울,종로구,가전/가구,55330,10
202011,서울,중구,요식/유흥,71929,5
202011,서울,중랑구,유통,37675,5
202012,광주,,전자상거래,90540,5
202012,부산,가평군,유통,513060,15
202012,서울,관악구,스포츠/문화/레저,482377,5
202012,서울,동작구,의료,22635,5
202012,서울,서초구,가정생활/서비스,120720,5
202012,서울,성남시,요식/유흥,85862,15
202012,서울,성북구,유통,150900,5
202012,서울,송파구,요식/유흥,9557,5
202012,서울,양주시,요식/유흥,201703,5
202012,서울,영등포구,요식/유흥,6036,5
202012,서울,종로구,요식/유흥,18108,5
202012,서울,중랑구,요식/유흥,45270,161
202101,경기,,자동차,24647,5
202101,경기,양천구,유통,206230,10
202101,경남,송파구,요식/유흥,125247,5
202101,서울,금천구,전자상거래,150900,5
202101,서울,마포구,유통,2515,5
202101,서울,성남시,가전/가구,163475,5
202101,서울,성동구,요식/유흥,100449,5
202101,서울,영등포구,유통,400891,15
202101,서울,용산구,주유,107139,15
202101,서울,파주시,여행/교통,348579,10
202101,서울,파주시,유통,327554,5
202102,강원,성북구,음/식료품,22635,55
202102,경기,강동구,미용,236410,5
202102,서울,,가정생활/서비스,65390,10
202102,서울,강남구,가정생활/서비스,955700,5
202102,서울,강남구,전자상거래,40240,5
202102,서울,동작구,요식/유흥,61869,10
202102,서울,중랑구,유통,30180,5
202103,서울,구로구,요식/유흥,32695,5
202103,서울,금천구,의료,101012,5
202103,서울,남양주시,유통,100097,5
202103,서울,송파구,주유,935580,5
202103,서울,종로구,스포츠/문화/레저,40240,25
202103,서울,중구,전자상거래,149140,5
202103,서울,중구,주유,79474,5
202104,경기,용산구,음/식료품,189812,15
202104,서울,,요식/유흥,22635,5
202104,서울,강동구,요식/유흥,69414,5
202104,서울,구로구,미용,16599,5
202104,서울,노원구,요식/유흥,59354,5
202104,서울,영등포구,요식/유흥,311850,45
202104,서울,은평구,유통,12575,5
202104,세종,,음/식료품,215837,10
202105,강원,고양시,교육/학원,10563,5
202105,강원,남동구,전자상거래,910430,5
202105,서울,강남구,가전/가구,662049,5
202105,서울,강남구,스포츠/문화/레저,50300,5
202105,서울,강남구,의료,169763,15
202105,서울,고양시,전자상거래,204721,10
202105,충북,영등포구,전자상거래,25653,5
202106,경기,영등포구,유통,54827,10
202106,경기,옹진군,유통,101757,10
202106,경기,중구,요식/유흥,45270,5
202106,서울,관악구,유통,70923,15
202106,서울,구로구,요식/유흥,77462,5
202106,서울,송파구,의료,240937,5
202106,서울,은평구,요식/유흥,39234,5
202106,서울,중랑구,유통,22635,5
202106,서울,파주시,주유,1509000,20
202106,인천,마포구,음/식료품,667481,116
202107,경기,서대문구,스포츠/문화/레저,49797,5
202107,서울,,요식/유흥,266590,20
202107,서울,김포시,유통,38681,5
202107,서울,마포구,주유,500988,5
202107,서울,양천구,요식/유흥,861066,5
202107,서울,영등포구,유통,22635,10
202107,서울,용산구,전자상거래,22635,5
202107,서울,중구,주유,15090,10
202107,서울,파주시,전자상거래,109050,5
